YearsExperience,Salary
4.6,72731.96
10.0,129666.93
8.0,106337.6
6.7,87300.78
2.5,47847.52
2.5,54797.13
1.6,37364.98
9.2,122215.35
6.7,96292.53
7.7,97194.33
1.2,32194.3
10.2,128696.65
8.9,109601.15
3.0,63344.08
2.7,46573.9
2.7,51684.21
3.9,65038.93
6.0,84101.58
5.1,73680.97
3.8,67014.34
6.8,85975.32
2.3,50214.83
3.8,64579.85
4.5,72896.13
5.3,81552.06
8.5,100509.33
2.9,48401.54
5.9,89355.43
6.6,91313.02
1.4,39229.08
6.8,98700.84
2.6,54158.19
1.6,50458.4
10.0,120467.31
10.2,131865.28
8.7,116894.68
3.9,63799.66
1.9,52208.82
7.5,100728.8
5.2,83476.2
2.2,44609.65
5.7,84767.88
1.3,47232.34
9.6,107953.2
3.5,55209.4
7.3,85449.49
4.0,64304.26
5.9,87053.53
6.2,93255.51
2.8,55175.53
10.2,130042.56
8.4,98373.35
9.9,110810.25
9.5,115230.0
6.7,92040.78
9.8,117656.77
1.8,36228.9
2.9,55310.93
1.4,36344.59
4.1,70164.11
4.7,74064.9
3.6,57500.94
8.9,107287.72
4.4,64206.34
3.7,62706.51
6.2,90176.23
2.3,46120.39
8.6,110108.07
1.7,42722.79
10.4,119414.47
8.3,104491.78
2.9,50813.98
1.1,36703.89
8.7,102732.56
7.7,109259.93
7.9,101506.43
8.3,101444.99
1.7,46400.72
4.4,69087.18
2.1,47801.96
9.2,115866.18
6.9,96079.53
4.1,64639.28
1.6,41555.15
4.0,64213.73
4.1,55293.57
7.9,93805.37
7.1,100345.54
9.4,123081.53
5.5,78129.2
2.1,52108.09
7.8,101538.68
8.2,119441.53
6.3,92587.07
8.3,104278.11
5.7,76441.82
6.0,75661.43
5.1,76572.08
1.2,37391.58
2.0,41113.45
1.3,38454.33
7.0,88005.35
4.0,74313.14
5.8,86890.99
9.6,116557.07
3.4,67714.21
4.9,74474.58
8.2,99293.2
3.2,66177.86
1.7,48276.33
3.8,58587.52
2.5,51832.73
9.8,114111.06
8.7,101180.29
7.0,97786.91
9.3,123056.96
8.6,100721.12
2.8,57766.59
9.5,112060.58
6.1,82678.13
8.7,105074.16
9.5,111295.85
4.0,66431.91
2.0,44254.69
3.2,59840.74
5.1,75266.53
8.8,107745.52
9.2,108054.65
1.1,36710.55
5.9,86445.85
5.0,77193.23
3.1,53102.44
2.1,49745.15
4.2,71623.03
10.0,111271.75
4.1,69350.65
5.9,80043.48
7.7,101961.11
4.5,66274.04
10.2,113062.96
10.1,113151.53
3.4,60767.81
5.7,82813.36
3.9,60203.51
3.7,66546.82
1.4,33846.23
6.8,90787.35
5.8,75923.98
1.5,40142.25
3.6,63061.27
9.6,112354.67
3.3,57559.76
2.4,56419.98
5.6,77963.75
10.4,127451.57
3.3,54047.19
7.4,99116.61
8.2,111326.32
3.3,46959.79
7.9,97278.02
4.5,73330.82
7.0,92046.92
7.0,95022.52
6.1,81788.81
1.9,47152.72
8.9,109639.98
4.0,72265.61
2.8,56219.44
1.4,44174.29
6.6,87461.96
7.4,94493.72
1.2,38255.47
5.9,84756.22
3.2,56260.47
7.1,95611.15
2.7,64285.33
7.6,102430.8
4.7,70435.75
9.9,125096.48
2.3,48717.66
4.2,57970.55
2.1,43661.55
9.8,108707.34
9.3,112254.95
3.5,61146.1
7.3,103810.82
8.8,110507.13
6.3,85374.17
6.0,88432.15
3.3,48622.69
1.9,48138.36
9.5,119566.27
9.6,108592.81
7.0,98848.94
4.2,69679.53
4.3,66780.98
7.9,104233.12
9.5,127056.39
9.4,115755.22
8.4,106920.46
7.1,91596.9
1.8,41944.75
2.5,56970.93
9.5,111545.96
6.8,91207.52
1.1,37398.06
2.0,50070.72
7.3,97397.71
1.0,44620.47
2.5,50199.01
6.2,84567.36
7.6,93263.22
7.2,92521.22
3.1,60061.53
7.8,103676.27
3.3,54673.97
4.1,71169.7
8.1,109603.2
7.2,96610.79
9.1,120992.58
7.2,91356.96
6.4,81367.11
1.9,38115.59
4.5,77919.92
3.5,64946.63
3.3,59583.19
10.2,123592.25
4.7,66982.41
9.5,127498.74
7.0,93608.46
8.6,107503.34
5.8,85604.3
6.5,90730.33
5.7,82229.68
2.9,51740.9
7.9,103127.0
3.7,72416.16
1.2,47806.12
7.1,102153.81
2.7,51586.88
9.9,114461.18
10.1,119931.96
9.7,117499.53
4.5,76119.53
1.1,31859.22
9.8,126018.99
5.1,74819.71
10.2,119514.58
10.2,116328.99
9.1,103658.03
3.8,68291.23
4.7,72292.45
9.1,105322.38
4.0,59621.44
2.6,51812.71
6.3,94951.62
9.9,117743.28
7.6,90994.83
6.4,86511.51
1.9,45944.97
6.8,78098.68
10.4,123378.13
2.3,49822.51
5.9,86798.22
9.3,123260.18
8.0,107968.54
7.6,97250.4
7.7,93529.76
4.4,82603.29
3.8,64398.19
8.7,108270.03
8.7,108144.07
9.2,114125.11
9.7,116360.27
5.9,79851.47
5.8,79145.35
8.6,107090.47
7.2,91854.79
7.7,95453.94
8.6,107572.42
9.5,113820.57
4.2,75418.55
4.6,57857.49
1.9,52492.99
6.5,94673.38
1.3,31706.11
5.4,77095.19
6.2,83538.91
3.7,56461.72
6.6,85627.16
1.3,36054.89
1.4,50954.62
8.8,114010.74
4.4,76154.08
2.2,53472.03
6.0,78006.54
8.3,102211.85
3.1,59899.57
6.9,86146.5
1.8,49862.2
1.5,42217.16
6.0,82556.72
6.1,88779.1
7.1,95721.57
7.9,99275.98
10.3,128232.0
5.9,77738.36
4.1,69692.46
8.6,109953.93
3.6,60608.43
5.2,78162.72
1.7,39452.45
1.2,45787.62
10.1,120381.93
8.9,107862.69
7.6,103750.84
4.9,70443.76
2.6,46774.36
2.5,44592.22
3.4,63425.82
6.2,79556.73
7.8,108871.92
7.3,85037.23
3.7,71416.63
10.1,121696.07
8.0,101606.62
6.3,83672.68
6.8,93297.8
5.0,74687.63
3.4,65697.51
4.4,70006.8
8.2,104547.35
1.1,38412.58
2.1,48639.48
1.4,44472.23
1.4,33931.47
9.1,105400.95
7.7,102879.07
5.5,80396.19
1.9,46444.9
5.7,81125.33
5.5,81219.74
2.6,51109.96
5.1,72202.79
4.8,74051.38
6.9,86763.32
7.0,95341.77
1.4,34360.57
4.6,76175.16
6.9,94874.01
5.8,83298.3
9.1,117143.34
7.3,103645.68
2.5,58002.74
1.7,35829.26
7.1,87528.96
1.3,38142.62
6.6,89214.27
9.9,121977.98
6.5,84574.32
4.7,73122.36
7.1,90224.23
5.4,75123.03
6.2,78616.93
9.9,114879.07
4.7,65253.35
10.1,116302.43
9.6,121675.69
2.9,50993.15
1.7,58092.3
2.0,50083.11
1.2,41482.15
1.9,42783.08
7.5,100898.63
1.7,42208.44
4.0,66882.47
9.0,124037.26
1.2,40509.45
8.7,114383.42
3.7,59582.7
2.1,48928.15
7.6,107425.03
7.0,89639.78
9.3,123086.1
8.0,105387.33
8.6,104885.29
3.7,66275.99
2.7,59033.85
8.1,106286.61
8.7,100133.25
10.4,120052.5
4.9,73041.22
4.5,70435.38
8.4,108486.67
4.2,69027.21
9.8,111903.03
9.2,114295.28
5.1,78731.92
8.1,105998.43
8.2,108917.32
2.0,51986.7
9.6,118464.17
5.8,81848.25
8.9,101357.31
4.0,68512.33
9.5,116605.67
4.7,73634.64
1.1,33542.88
9.6,111004.88
1.9,52070.78
4.0,66103.54
10.0,123637.8
10.0,120418.5
6.4,88177.72
7.0,97713.5
5.3,74761.87
3.8,64550.12
4.1,64789.44
7.4,94327.85
8.1,101782.16
8.5,107790.68
8.5,104118.61
1.9,53076.9
5.7,76799.9
1.5,42986.92
6.2,83786.06
5.2,83985.75
9.4,115881.48
4.3,74162.46
2.1,41581.43
2.4,52561.04
8.2,108557.31
6.9,92269.06
2.0,52973.39
1.8,43604.69
7.7,105979.6
1.7,56715.73
8.8,107454.84
7.7,97156.2
1.8,53222.24
1.8,54151.49
10.4,120743.38
4.6,68899.22
4.5,69280.98
8.7,101772.11
10.0,115396.49
10.4,118282.39
8.2,99574.85
4.6,70996.77
1.8,47310.38
8.4,113198.56
6.3,81751.79
5.0,80192.59
9.6,115423.36
2.1,48260.07
5.7,84493.54
1.1,34357.13
5.5,80982.53
1.5,44646.19
2.1,51621.19
2.1,50494.34
7.2,106783.98
8.1,99598.14
6.5,86223.04
10.1,118150.05
4.6,68274.05
3.7,60241.45
9.3,119210.31
3.1,65219.97
10.2,118501.8
1.1,35877.43
10.2,124281.72
1.4,39929.06
9.5,118357.4
6.0,85133.06
10.4,116319.77
1.7,53047.13
6.3,95333.93
10.2,118811.42
6.0,81786.36
7.0,94242.91
7.6,100158.8
5.3,81155.98
7.0,102707.24
6.6,88074.14
9.6,112057.52
1.4,35989.07
3.7,59367.7
10.0,120094.55
9.5,124090.34
5.3,75370.6
6.9,93140.28
3.6,62633.98
2.8,61026.33
5.4,91280.88
4.4,66557.27
6.5,86455.4
1.7,50867.12
10.3,125720.21
10.4,132554.56
